DeployID,Ptt,DepthSensor,Source,Instr,HistType,Date,Time Offset,Count,BadTherm,LocationQuality,Latitude,Longitude,NumBins,Sum,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64,Bin65,Bin66,Bin67,Bin68,Bin69,Bin70,Bin71,Bin72
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 02-Nov-2016,21.000000,1,,,,,24,,3,3,3,3,3,30,0,0,0,0,3,3,30,98,30,30,90,98,100,80,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 03-Nov-2016,22.000000,2,,,,,24,,100,100,100,90,3,0,0,3,3,3,3,3,0,3,0,3,3,0,80,60,100,40,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 05-Nov-2016,24.000000,2,,,,,24,,100,100,100,100,100,100,100,70,3,0,0,0,0,3,3,3,10,3,3,3,3,10,100,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 06-Nov-2016,24.000000,1,,,,,24,,10,3,3,3,3,0,0,0,0,0,3,3,50,90,70,80,50,70,80,10,50,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 11-Nov-2016,28.000000,2,,,,,24,,3,3,0,3,3,0,0,0,0,0,0,0,3,3,3,0,0,0,0,3,0,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 12-Nov-2016,29.000000,2,,,,,24,,0,3,0,3,3,0,0,0,0,10,3,3,3,0,3,3,0,0,3,3,3,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 14-Nov-2016,31.000000,2,,,,,24,,80,30,98,100,20,0,0,3,0,3,0,3,3,0,0,3,3,3,0,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 15-Nov-2016,32.000000,3,,,,,24,,3,3,3,3,3,0,0,3,3,3,3,10,3,0,0,3,3,0,3,3,3,80,98,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 17-Nov-2016,34.000000,1,,,,,24,,100,100,100,70,0,0,0,3,50,20,3,3,30,100,10,20,0,3,3,3,3,60,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 18-Nov-2016,36.000000,1,,,,,24,,100,100,100,70,30,3,0,0,3,3,3,80,98,100,100,80,40,0,3,30,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 19-Nov-2016,37.000000,1,,,,,24,,100,100,100,100,50,0,0,3,0,3,3,3,30,80,60,3,3,3,0,3,3,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 20-Nov-2016,38.000000,1,,,,,24,,98,100,100,100,50,0,0,0,0,3,3,3,50,20,3,3,0,3,0,0,0,3,60,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 21-Nov-2016,39.000000,2,,,,,24,,100,40,0,10,0,0,3,0,0,3,10,3,0,3,3,0,3,3,70,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 22-Nov-2016,40.000000,1,,,,,24,,3,3,3,0,3,0,0,0,3,0,3,3,3,3,0,0,0,0,3,0,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
