DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
PV2016_3024_15A0909,160941,Mk10,06:30:42 21-Oct-2016,Argos,B,52.7607,173.8696,3347,6292,1780,79,,,,,,
PV2016_3024_15A0909,160941,Mk10,08:42:44 21-Oct-2016,Argos,0,52.8249,174.0370,10162,35205,2933,71,,,,,,Lat > 4 deviations from mean
PV2016_3024_15A0909,160941,Mk10,08:51:39 21-Oct-2016,Argos,1,52.7428,173.9299,1306,3559,479,83,,,,,,
PV2016_3024_15A0909,160941,Mk10,09:30:51 21-Oct-2016,Argos,3,52.7484,173.8950,138,606,31,79,,,,,,
PV2016_3024_15A0909,160941,Mk10,15:18:55 21-Oct-2016,Argos,B,52.7844,173.8683,2289,4492,1166,81,,,,,,
PV2016_3024_15A0909,160941,Mk10,16:57:45 21-Oct-2016,Argos,2,52.7482,173.8976,334,773,144,57,,,,,,
PV2016_3024_15A0909,160941,Mk10,08:42:28 23-Oct-2016,Argos,B,52.7135,173.9732,8256,838482,81,84,,,,,,
PV2016_3024_15A0909,160941,Mk10,17:41:20 23-Oct-2016,Argos,B,52.7029,173.9551,8543,30759,2372,85,,,,,,
PV2016_3024_15A0909,160941,Mk10,17:48:00 23-Oct-2016,Argos,B,52.7166,173.8720,4396,14916,1295,76,,,,,,
PV2016_3024_15A0909,160941,Mk10,17:48:00 23-Oct-2016,Argos,B,52.7128,173.8647,4237,14250,1259,77,,,,,,
PV2016_3024_15A0909,160941,Mk10,21:07:37 23-Oct-2016,Argos,B,52.7018,173.7669,3270,5845,1829,62,,,,,,
PV2016_3024_15A0909,160941,Mk10,21:07:37 23-Oct-2016,Argos,B,52.7019,173.7424,2672,52063,137,35,,,,,,
PV2016_3024_15A0909,160941,Mk10,22:37:58 23-Oct-2016,Argos,A,52.7242,173.7687,551,10483,29,102,,,,,,
PV2016_3024_15A0909,160941,Mk10,01:21:20 24-Oct-2016,Argos,B,52.7284,173.7724,1573,3413,725,80,,,,,,
PV2016_3024_15A0909,160941,Mk10,02:57:07 24-Oct-2016,Argos,B,52.7119,173.8313,1595,15167,167,64,,,,,,
PV2016_3024_15A0909,160941,Mk10,05:17:35 24-Oct-2016,Argos,3,52.7503,173.9121,153,452,51,64,,,,,,
PV2016_3024_15A0909,160941,Mk10,05:19:19 24-Oct-2016,Argos,B,52.7509,173.9128,189,1069,33,87,,,,,,
PV2016_3024_15A0909,160941,Mk10,05:43:14 24-Oct-2016,Argos,B,52.7485,173.9131,953,12740,71,72,,,,,,
PV2016_3024_15A0909,160941,Mk10,06:45:18 24-Oct-2016,Argos,B,52.7497,173.9263,1407,3534,560,78,,,,,,
PV2016_3024_15A0909,160941,Mk10,06:55:55 24-Oct-2016,Argos,B,52.7598,173.9408,1304,2273,747,86,,,,,,
PV2016_3024_15A0909,160941,Mk10,08:18:54 24-Oct-2016,Argos,3,52.7547,173.9121,168,339,82,50,,,,,,
PV2016_3024_15A0909,160941,Mk10,09:13:18 24-Oct-2016,Argos,1,52.7553,173.9319,644,9160,45,82,,,,,,
